# Number of Traces
8985
# TraceId; FractureId1; FractureId2; X1; Y1; Z1; X2; Y2; Z2
0; 0; 1; 9.4484545065182501e-01; 3.9767031338443681e-01; 1.1151029967997411e-01; 7.8302285504736457e-01; 8.0383492584217087e-01; 6.0034976724476596e-01
1; 0; 2; 5.5640768138340790e-01; 4.0158763070686332e-01; 5.8647125293911628e-01; 5.2033811142091513e-01; 5.2037353700970457e-01; 7.1575364390421525e-01
2; 0; 3; 4.1324663174957066e-01; 3.3940189022299827e-01; 7.1575364390421525e-01; 8.4927465371300681e-01; 2.3616722686611813e-01; 1.1151029967997411e-01
3; 0; 7; 7.6494720609248201e-01; 9.3664040692573863e-02; 1.1151029967997411e-01; 7.0742458421187604e-01; 1.0226675113753404e-01; 1.8761637291027519e-01
4; 0; 8; 1.1056296452556627e+00; 6.6937615040210519e-01; 1.1151029730793194e-01; 1.2174917017480120e+00; 1.0908573573163831e+00; 2.7870492916184147e-01
5; 0; 9; 8.6243475786109813e-01; 1.0073887528205496e+00; 6.5023695895702494e-01; 9.6690580549707617e-01; 4.3494964006379411e-01; 1.1151029639023968e-01
6; 0; 10; 9.4137401562310197e-01; 5.5811137282309842e-01; 2.3113152716409163e-01; 5.1316862789576878e-01; 2.1721933492225931e-01; 5.0641595355922608e-01
7; 0; 12; 8.2810199439198406e-01; 2.0038799367279203e-01; 1.1151029967997411e-01; 5.4668715884735730e-01; 2.4504504555104337e-01; 4.8568884169485949e-01
8; 0; 14; 9.6483648494712526e-01; 8.1178140308734459e-01; 3.8507233474214042e-01; 7.9989063190070442e-01; 9.9278348175845388e-01; 7.1575364390421514e-01
9; 0; 16; 4.8013640775416361e-01; 4.5243752804638016e-01; 7.1575364923277052e-01; 4.8582549810846792e-01; 2.3339985430704602e-01; 5.5128962254329239e-01
10; 0; 18; 1.0161901767235166e+00; 6.2073641796086398e-01; 1.8523783853090747e-01; 9.7396926923495442e-01; 4.4688604370633256e-01; 1.1151029950246827e-01
11; 0; 19; 1.0680173164174205e+00; 7.1910334291846623e-01; 1.9299548754903115e-01; 1.1595941554272557e+00; 1.0592430567159998e+00; 3.2633950937149925e-01
12; 0; 20; 4.3040076387055359e-01; 2.6619790561142853e-01; 6.4224890464902817e-01; 7.5706950503721182e-01; 9.2042093522704971e-01; 7.1575362822065247e-01
13; 0; 22; 7.1372514111301200e-01; 9.8538343860849142e-02; 1.7727633003730647e-01; 7.9738052776143253e-01; 4.8366836801304902e-01; 3.5260936032314838e-01
14; 0; 23; 9.7827792500829391e-01; 4.5416714620949777e-01; 1.1151029621115288e-01; 5.9208647775587764e-01; 1.7051903813038069e-01; 3.7690137925593825e-01
15; 0; 25; 6.1400786517110273e-01; 2.5394355633092658e-01; 4.1026151061015687e-01; 7.3801850395250201e-01; 8.8822709249187248e-01; 7.1575366035511334e-01
16; 0; 26; 1.2167662428833061e+00; 1.0578259162246202e+00; 2.5582793054463582e-01; 4.1214770979971210e-01; 3.3754488153491280e-01; 7.1575367014407587e-01
17; 0; 27; 5.4791543163938294e-01; 1.9665761700742246e-01; 4.4939187247789325e-01; 6.2399363720213563e-01; 2.7095336684188859e-01; 4.1035865893148060e-01
18; 0; 28; 7.9451118965859679e-01; 1.4362359683984474e-01; 1.1151029967997411e-01; 4.2260710331222445e-01; 3.5521995491490793e-01; 7.1575364390421525e-01
19; 0; 30; 1.0475053817602293e+00; 5.9617088837425936e-01; 1.2950498735934901e-01; 5.7403650178584775e-01; 6.1111732133279595e-01; 7.1575364390421525e-01
20; 0; 34; 6.7937234393313595e-01; 1.1886689583269520e-01; 2.3365378784446528e-01; 7.3629203664411635e-01; 1.0346418174703037e-01; 1.5338947771136882e-01
21; 0; 36; 7.4468804135838262e-01; 8.0215790340562337e-02; 1.2646213809805618e-01; 7.5277619157339315e-01; 5.6081350270440844e-01; 4.6231440759253678e-01
22; 0; 38; 7.6148083644568731e-01; 9.2787559232880756e-01; 7.1575365743705421e-01; 1.0681508593495337e+00; 1.1792310494929150e+00; 5.2379290027386138e-01
23; 0; 40; 6.4789227488868506e-01; 1.3749549117249998e-01; 2.8531672388278873e-01; 8.3665325960240844e-01; 5.3154885442260857e-01; 3.3931301755718524e-01
24; 0; 41; 4.9502299210750683e-01; 2.2795716062945059e-01; 5.3619532499442801e-01; 4.6290854937686277e-01; 3.5327508470205621e-01; 6.6536862390274676e-01
25; 0; 42; 9.8842882855904823e-01; 8.8928076430958103e-01; 4.1213959584631765e-01; 7.2578956895742885e-01; 8.6756164869904728e-01; 7.1575364390421514e-01
26; 0; 45; 4.6073799671988347e-01; 2.6331941923451807e-01; 6.0330378454191980e-01; 4.9858674844128714e-01; 4.8361639325466954e-01; 7.1575366449063316e-01
27; 0; 46; 4.5921008186873036e-01; 4.1707456115434216e-01; 7.1575364390421525e-01; 6.7321281126453614e-01; 3.6549069272237528e-01; 4.1853172506897734e-01
28; 0; 47; 8.3124025168432414e-01; 2.0569126875400578e-01; 1.1151029958135042e-01; 9.6689638278035295e-01; 7.7037010353220092e-01; 3.5278230732851845e-01
29; 0; 49; 6.2009043828382715e-01; 6.8894290329905039e-01; 7.1575364390421514e-01; 8.9115998556464182e-01; 3.0694837121729046e-01; 1.1151029967997411e-01
30; 0; 51; 7.5243417680305258e-01; 7.5631951078022508e-02; 1.1374971150692850e-01; 1.3057008104747463e+00; 1.0140384329948611e+00; 1.1623323061736528e-01
31; 0; 52; 9.2750722796546936e-01; 5.7972734506518453e-01; 2.6353440089418795e-01; 4.8971293307204494e-01; 3.8047406803286848e-01; 6.5235171855668506e-01
