# FractureId; NumTraces
0; 113
# TraceId; Tips; Length
200; 1; 7.8818040715355264e-01
183; 1; 7.6915195757091159e-01
147; 1; 7.5130765789261200e-01
171; 1; 7.3787944760829216e-01
203; 1; 7.2887260685613331e-01
139; 1; 7.2210456559057479e-01
124; 1; 7.1561267798328854e-01
113; 1; 7.0834150443094812e-01
132; 1; 7.0709706178103782e-01
177; 1; 6.7803165171353230e-01
204; 1; 6.7538907545380122e-01
0; 1; 6.5583555096543467e-01
201; 1; 6.4839516592834112e-01
160; 1; 6.4201287281564567e-01
146; 1; 6.4118389313875968e-01
121; 1; 6.3329747823003246e-01
143; 1; 6.2883807425354910e-01
190; 1; 6.2785364906676022e-01
192; 1; 6.2480712234865587e-01
122; 1; 6.1897050340057169e-01
168; 1; 6.1121064246158519e-01
187; 1; 6.0183835539246366e-01
186; 1; 5.9553273919016592e-01
162; 1; 5.9083294501735928e-01
175; 1; 5.7323011799339407e-01
120; 1; 5.7291049214683687e-01
188; 1; 5.7014701513081045e-01
144; 1; 5.4368336547355933e-01
167; 1; 5.1861532321703696e-01
153; 1; 4.9519268280031675e-01
172; 1; 4.8710869810538671e-01
130; 1; 4.8336602507558663e-01
195; 1; 4.5281556800202843e-01
156; 1; 4.3540292125905411e-01
142; 1; 4.2016528956837956e-01
154; 1; 4.1833661388415011e-01
123; 1; 4.1159607063205472e-01
119; 1; 4.0222115726467089e-01
184; 1; 3.9373344987632264e-01
131; 1; 3.8304740135068494e-01
179; 1; 3.7257110359412066e-01
164; 1; 3.2258558055492598e-01
166; 1; 3.0177888149708826e-01
137; 1; 2.9553376694161693e-01
202; 1; 2.8577236580410736e-01
135; 1; 2.7978750889545712e-01
173; 1; 2.7931738712559079e-01
141; 1; 2.7221914152687371e-01
174; 1; 2.6761799655177998e-01
148; 1; 2.6333515242429600e-01
118; 1; 2.4926536784786893e-01
161; 1; 2.4866281776757293e-01
152; 1; 2.3228058881455746e-01
198; 1; 2.2660883643460145e-01
169; 1; 2.2501803990841820e-01
194; 1; 1.7934765977622757e-01
193; 1; 1.7598631797626341e-01
129; 1; 1.6545000029002097e-01
114; 1; 1.3559426672954283e-01
140; 1; 1.2196387142146706e-01
155; 1; 1.1029496635551672e-01
165; 1; 7.6435133956487725e-02
133; 1; 4.9104828365010754e-02
191; 1; 4.1317942756580996e-02
189; 1; 2.7138806804932289e-02
199; 1; 9.1591070893159016e-03
# FractureId; NumTraces
2; 129
# TraceId; Tips; Length
299; 0; 1.3390345480054080e+00
275; 0; 9.4220438029916331e-01
310; 0; 6.9811655074545820e-01
255; 0; 6.2997684763721762e-01
233; 0; 4.8719601216644803e-01
210; 0; 4.6507553509195848e-01
294; 0; 4.4121642658515103e-01
292; 0; 3.2281214784654350e-01
252; 0; 2.7972546088726202e-01
326; 0; 1.7627242356691258e-01
244; 0; 1.0246208440129641e-01
219; 0; 9.5327618116128235e-02
302; 0; 9.4863273919015112e-02
226; 0; 3.7913378813883077e-02
325; 1; 1.2413674707037348e+00
271; 1; 1.2092825112450307e+00
234; 1; 1.1935183661908650e+00
238; 1; 1.1407952013512803e+00
282; 1; 1.0966728592585688e+00
296; 1; 1.0664198105842664e+00
303; 1; 9.1043864620878900e-01
290; 1; 8.9545097644723914e-01
223; 1; 8.8733533757147143e-01
221; 1; 8.7094664539316402e-01
306; 1; 8.6607523692409250e-01
267; 1; 8.5219703358011956e-01
269; 1; 8.4912539845478152e-01
276; 1; 8.1766421832732405e-01
309; 1; 8.1600383200851634e-01
214; 1; 7.8260787009070609e-01
330; 1; 7.7776517772376574e-01
313; 1; 7.7653996044375340e-01
288; 1; 7.7615716921974520e-01
301; 1; 7.6349680899479122e-01
283; 1; 7.5710737354113489e-01
263; 1; 7.3739749058760906e-01
273; 1; 7.0666022861130062e-01
297; 1; 7.0156769860486878e-01
248; 1; 6.9966865194242167e-01
277; 1; 6.9121345836501713e-01
207; 1; 6.8583341698663791e-01
249; 1; 6.7366096382779528e-01
298; 1; 6.6845003733273056e-01
208; 1; 6.6724481905364652e-01
230; 1; 6.6575454331899997e-01
241; 1; 6.5472247423844288e-01
316; 1; 6.5231549796258992e-01
320; 1; 6.5032749409071311e-01
260; 1; 6.4641401346451988e-01
220; 1; 6.3464191829791161e-01
258; 1; 6.3385519316084649e-01
239; 1; 6.0389457864874996e-01
304; 1; 5.9395221702643020e-01
235; 1; 5.8622546847866974e-01
227; 1; 5.6921976690799714e-01
236; 1; 5.6138134082074798e-01
272; 1; 5.5812859223531308e-01
308; 1; 5.3498594384071407e-01
229; 1; 5.1901209619548305e-01
324; 1; 5.1885227155699198e-01
261; 1; 5.1551519145254443e-01
228; 1; 4.9614027982999526e-01
266; 1; 4.8553132907603774e-01
232; 1; 4.8169253425394798e-01
307; 1; 4.7965440267508547e-01
257; 1; 4.7827662023040118e-01
311; 1; 4.7816335782100317e-01
264; 1; 4.7111331806675305e-01
242; 1; 4.6886437799452774e-01
246; 1; 4.6087612885944523e-01
265; 1; 4.5750174422354828e-01
321; 1; 4.5040210830633987e-01
278; 1; 4.4985044573489541e-01
323; 1; 4.4813107731000340e-01
268; 1; 4.4040926963849025e-01
245; 1; 4.2968369360596836e-01
295; 1; 4.0570184884714344e-01
287; 1; 4.0050033969429494e-01
329; 1; 3.9770761312856634e-01
231; 1; 3.9674431758826612e-01
256; 1; 3.9670798117943984e-01
224; 1; 3.8251207423681927e-01
332; 1; 3.7408339489369846e-01
327; 1; 3.6681550025663395e-01
243; 1; 3.6304826990908989e-01
293; 1; 3.5930771738060918e-01
237; 1; 3.4897434020241241e-01
286; 1; 3.3054565247502948e-01
218; 1; 3.1931114347938683e-01
315; 1; 3.1550304079600638e-01
205; 1; 3.1024045621174401e-01
322; 1; 3.0962912838206491e-01
254; 1; 3.0394856801439796e-01
217; 1; 2.8573889730594337e-01
213; 1; 2.7825281133695468e-01
328; 1; 2.7603431562181896e-01
222; 1; 2.7498048849437901e-01
291; 1; 2.6566540414473078e-01
312; 1; 2.6337633705278196e-01
319; 1; 2.6048421287760931e-01
279; 1; 2.5902889802026402e-01
250; 1; 2.5313634975434490e-01
331; 1; 2.4884491783083604e-01
285; 1; 2.4177007609774603e-01
206; 1; 2.3609980785433876e-01
281; 1; 2.3595266508924120e-01
314; 1; 2.2322038361606586e-01
274; 1; 2.1022038792463948e-01
215; 1; 2.0801933045840809e-01
284; 1; 1.9839119640948072e-01
289; 1; 1.9565948274035361e-01
262; 1; 1.8577684634818289e-01
300; 1; 1.8447344385476447e-01
1; 1; 1.7923460052991788e-01
318; 1; 1.7770143896406387e-01
253; 1; 1.4520607584452552e-01
317; 1; 1.3594396342178949e-01
247; 1; 1.2726016560946768e-01
305; 1; 1.1080407960638011e-01
209; 1; 9.9507495342268062e-02
251; 1; 8.3660479426695786e-02
259; 1; 8.2041116486584603e-02
212; 1; 6.8185979597162924e-02
240; 1; 6.6576224685496219e-02
225; 1; 5.8847979301030237e-02
280; 1; 2.6051269341902768e-02
216; 1; 2.2793720163288851e-02
270; 1; 1.6473069674871502e-02
211; 1; 1.4372914087669638e-02
# FractureId; NumTraces
3; 146
# TraceId; Tips; Length
392; 0; 8.5589175500912584e-01
405; 0; 5.8280410390743131e-01
432; 0; 5.1570310307332101e-01
452; 0; 3.3053545295455200e-01
434; 0; 2.9605758921853154e-01
376; 0; 2.9468895807186907e-01
441; 0; 2.5674754634809405e-01
447; 0; 2.3042277400297842e-01
341; 0; 7.5921179736302150e-02
462; 0; 3.5529324551476331e-02
457; 1; 1.2103033957232436e+00
464; 1; 1.1621910021668045e+00
379; 1; 1.1093373318569197e+00
346; 1; 1.1092520164468396e+00
396; 1; 1.0912267586990299e+00
350; 1; 1.0625340616055070e+00
348; 1; 1.0481666912123688e+00
354; 1; 1.0431666996320403e+00
391; 1; 1.0279220612611999e+00
404; 1; 1.0066458104255211e+00
358; 1; 9.9342525132924009e-01
345; 1; 9.8995231974655085e-01
383; 1; 9.7263573567460981e-01
399; 1; 9.5742602908900409e-01
386; 1; 9.5116734881351372e-01
454; 1; 9.3314731971857079e-01
446; 1; 9.0996171288409600e-01
336; 1; 9.0696518984142704e-01
360; 1; 8.9674523441064313e-01
430; 1; 8.9124891175193999e-01
369; 1; 8.9039754212570510e-01
427; 1; 8.8477195091401706e-01
466; 1; 8.7067623854793985e-01
368; 1; 8.7002392350916236e-01
352; 1; 8.6057566995597934e-01
461; 1; 8.5741442306845339e-01
463; 1; 8.4062573414313202e-01
442; 1; 8.3917172439070820e-01
440; 1; 8.3854111782639396e-01
394; 1; 8.3787163271005594e-01
398; 1; 8.3689500820486784e-01
356; 1; 8.3215529848072511e-01
451; 1; 8.2261065313154114e-01
436; 1; 8.2077149705754016e-01
406; 1; 8.1070214711997479e-01
389; 1; 8.0844580986826187e-01
337; 1; 8.0438515242611508e-01
362; 1; 8.0434754071899517e-01
388; 1; 8.0338206827056879e-01
359; 1; 7.8314510539918769e-01
459; 1; 7.7984178803878690e-01
411; 1; 7.7969356356026487e-01
473; 1; 7.7942563341801241e-01
378; 1; 7.6727536432965049e-01
363; 1; 7.5662190736293666e-01
2; 1; 7.5225517658242136e-01
333; 1; 7.4993963570544786e-01
468; 1; 7.3358815363918517e-01
415; 1; 7.3204998199381244e-01
375; 1; 7.2636002208987449e-01
344; 1; 7.1524729357212369e-01
113; 1; 7.0834150443094812e-01
422; 1; 7.0445172119209809e-01
439; 1; 7.0311431038071825e-01
413; 1; 7.0240007394084891e-01
419; 1; 6.8439079078231047e-01
380; 1; 6.7711646113502943e-01
373; 1; 6.7529030315681693e-01
450; 1; 6.7292979817022869e-01
385; 1; 6.7191159491438945e-01
384; 1; 6.6693436792128458e-01
365; 1; 6.6502585588367358e-01
402; 1; 6.6069886960407975e-01
370; 1; 6.5907609077118556e-01
444; 1; 6.5771343021172635e-01
407; 1; 6.5464355476075287e-01
361; 1; 6.5434918184911617e-01
443; 1; 6.5185882211469315e-01
340; 1; 6.5059289154085131e-01
425; 1; 6.3615230076698659e-01
342; 1; 6.2790198781092665e-01
409; 1; 6.1117105471364541e-01
423; 1; 6.0593784103068116e-01
366; 1; 6.0295263878315175e-01
435; 1; 5.9881186461729241e-01
338; 1; 5.9625633123882049e-01
364; 1; 5.9468641554992419e-01
465; 1; 5.8973932337535540e-01
472; 1; 5.8097853278559441e-01
474; 1; 5.6942817189233164e-01
471; 1; 5.6734169263164957e-01
400; 1; 5.6338077023287603e-01
470; 1; 5.6168042862748202e-01
343; 1; 5.6002489621434415e-01
428; 1; 5.5919381436252547e-01
374; 1; 5.5269304802816854e-01
410; 1; 5.4600268878164249e-01
445; 1; 5.4547320774488395e-01
335; 1; 5.4321132597086352e-01
417; 1; 5.4178780647894553e-01
458; 1; 5.3453639517594864e-01
469; 1; 5.3250706784488044e-01
387; 1; 5.1565097192326415e-01
475; 1; 5.1289666749718388e-01
349; 1; 5.0883311018995614e-01
429; 1; 5.0706556775207556e-01
371; 1; 4.9590813585489935e-01
401; 1; 4.9566672836191411e-01
420; 1; 4.9097277314410320e-01
426; 1; 4.8259954515603543e-01
334; 1; 4.7539867311219497e-01
393; 1; 4.6492448403623921e-01
424; 1; 4.5942633679158185e-01
449; 1; 4.5457339482547154e-01
390; 1; 4.4845609063395636e-01
418; 1; 4.4482879679495724e-01
351; 1; 4.3641551794215411e-01
453; 1; 4.3426521749666647e-01
355; 1; 4.2493440364804053e-01
347; 1; 4.2389275826945699e-01
438; 1; 4.2336474665067469e-01
353; 1; 4.1276227413984290e-01
397; 1; 3.9740042456363894e-01
382; 1; 3.7895053378424498e-01
414; 1; 3.6395750407771515e-01
381; 1; 3.3916577729064812e-01
372; 1; 3.2919816771519173e-01
339; 1; 3.2674820539660981e-01
456; 1; 3.2456460464717163e-01
433; 1; 3.1172391684337292e-01
205; 1; 3.1024045621174401e-01
448; 1; 2.9441805393195292e-01
455; 1; 2.8611994942562169e-01
367; 1; 2.5253148182213020e-01
460; 1; 2.4173693526367843e-01
403; 1; 2.3862141557519395e-01
377; 1; 2.2389478399221108e-01
416; 1; 2.2082423584887151e-01
357; 1; 2.0804972595809179e-01
467; 1; 1.4404226208186785e-01
412; 1; 1.3233232840677089e-01
395; 1; 1.2841130178471494e-01
408; 1; 1.2789147968133077e-01
431; 1; 6.3344587653307374e-02
437; 1; 5.5130570084929713e-02
421; 1; 5.1197568553747269e-02
# FractureId; NumTraces
4; 98
# TraceId; Tips; Length
482; 0; 9.4197859107963788e-01
566; 0; 8.5884597282009834e-01
333; 0; 7.4993963570544786e-01
516; 0; 7.2395839444754373e-01
515; 0; 7.1329548151090283e-01
548; 0; 6.7334383957506772e-01
550; 0; 6.6834741103409956e-01
521; 0; 6.6434469915081851e-01
541; 0; 6.5785080249280370e-01
486; 0; 6.5655499980691501e-01
529; 0; 6.4815761821303597e-01
542; 0; 6.3304469176198475e-01
524; 0; 6.2707239178322782e-01
565; 0; 6.1206500064510527e-01
559; 0; 6.0132642861217656e-01
476; 0; 5.6768527721288897e-01
530; 0; 4.7800100560223502e-01
564; 0; 4.5572030781455158e-01
491; 0; 4.4705719306956043e-01
544; 0; 3.7250909931788478e-01
534; 0; 3.5508642161900883e-01
526; 0; 3.4984181594084507e-01
479; 0; 2.3050713195246031e-01
506; 0; 2.3029018871483856e-01
493; 0; 2.2553822144118152e-01
500; 0; 1.9966192651766962e-01
533; 0; 1.8885566410776064e-01
549; 0; 1.5841032938109456e-01
490; 0; 1.5251978794060839e-01
481; 0; 6.0674429233369701e-02
558; 0; 5.1131244778852517e-02
556; 0; 4.6070041777698564e-02
525; 0; 2.5181827146045364e-02
512; 1; 9.7548162795519122e-01
560; 1; 8.9962745276750655e-01
