#FractureId
0
Id,X,Y,Z
0;6.7949650570084286e-01;5.1566886122886846e-01;1.9054542365205804e-01
1;2.0959413133064569e-01;9.9389350435296486e-01;1.9054542365205804e-01
2;7.7027229455623514e-02;8.6363358811981283e-01;5.9704177318758545e-01
3;5.4692960382582068e-01;3.8540894499571632e-01;5.9704177318758545e-01
4;4.2284129691097044e-01;7.7686959636876207e-01;1.9054542365205807e-01
5;5.5413802548978963e-01;3.9249192803981503e-01;5.7493823038346925e-01
6;1.6036270610071340e-01;9.4551882162427348e-01;3.4150614695184878e-01
7;4.9267837314953872e-01;4.4062099373603136e-01;5.9704178177477141e-01
8;4.3699853809114292e-01;7.3542357636907085e-01;2.3199307387434870e-01
9;5.9471705677263165e-01;4.3236477666168277e-01;4.5050878378951442e-01
10;4.0708278450864288e-01;7.9290720257129021e-01;1.9054542279078318e-01
11;4.3699853809114292e-01;7.3542357636907085e-01;2.3199307387434870e-01
12;3.2951089208256434e-01;6.0667827646549910e-01;5.9704177840379680e-01
13;3.6406877060288684e-01;6.3602167149362598e-01;4.9814685743064346e-01
14;4.4692176432265918e-01;7.0637286861796600e-01;2.6104491086619891e-01
15;4.5052494885948563e-01;7.0943236392700704e-01;2.5073361094622293e-01
16;3.6406877060288684e-01;6.3602167149362598e-01;4.9814685743064346e-01
17;4.4692176432265918e-01;7.0637286861796600e-01;2.6104491086619891e-01
18;2.4797594187418673e-01;6.8965726339689826e-01;5.9704177671931724e-01
19;2.4196095339109847e-01;8.2154399163664216e-01;4.0425149051629772e-01
20;2.3529339997362497e-01;9.6773908545381526e-01;1.9054542353998011e-01
21;2.4196095339109847e-01;8.2154399163664216e-01;4.0425149051629772e-01
22;4.7935223692995654e-01;7.1935781179987601e-01;1.9054542365205804e-01
23;4.3389268206730636e-01;7.4451606945089810e-01;2.2290025151046031e-01
24;4.3160880504488397e-01;7.4578001421997808e-01;2.2452575022318419e-01
25;4.3389268206730636e-01;7.4451606945089810e-01;2.2290025151046031e-01
26;2.4059515461494263e-01;8.5149091805302490e-01;3.6047547073713226e-01
27;4.3160880504488397e-01;7.4578001421997808e-01;2.2452575022318419e-01
28;4.2720007415258188e-01;5.0725896006731575e-01;5.9704177384072565e-01
29;3.5266862112783803e-01;6.2634169546579088e-01;5.3077089167202329e-01

#FractureId
1
Id,X,Y,Z
0;5.5952856500448900e-01;3.0734730003609312e-01;-8.6619310585948128e-02
1;1.2850957640097640e+00;3.9378095860229478e-01;-8.6619310585948128e-02
2;1.2754369312946789e+00;4.7486201330943967e-01;3.9361989787461205e-01
3;5.4986973228940383e-01;3.8842835474323800e-01;3.9361989787461216e-01
4;8.7905228688782688e-01;3.4541076827914230e-01;-8.6619312546123803e-02
5;5.5471520734535484e-01;3.4775302217972370e-01;1.5270184887525889e-01
6;1.2770263669058590e+00;4.6151949710359719e-01;3.1459281277589757e-01
7;9.3219303135978371e-01;4.3397286253601053e-01;3.9361989349212628e-01

#FractureId
2
Id,X,Y,Z
0;1.3889514091147021e-01;3.2532511435084366e-01;3.0316445711141893e-01
1;3.0493433607942311e-01;1.2648915763283695e+00;3.0316445711141893e-01
2;3.9771297738018352e-01;1.2484958325957427e+00;9.3223134394306229e-01
3;2.3167378221223053e-01;3.0892937061821679e-01;9.3223134394306229e-01
4;2.8390199813548167e-01;6.0447332336244575e-01;9.3223134394306229e-01
5;1.4992041194364300e-01;3.2337674116419213e-01;3.7791908500423987e-01
6;3.1586681090739327e-01;1.2629596006855393e+00;3.7728990055037992e-01
7;1.6322765467697042e-01;3.5129565337010749e-01;4.3297417390210041e-01
8;1.5830512762146665e-01;3.2189500312402630e-01;4.3476996044147381e-01
9;1.6322765467697040e-01;3.5129565337010737e-01;4.3297417390210041e-01
10;2.3880707383785374e-01;8.9069705098316820e-01;3.0316445711141893e-01
11;2.4196095335161080e-01;8.2154399250246257e-01;4.0425148925065285e-01
12;2.5465905795947724e-01;5.4312093711571674e-01;8.1124665282734942e-01
13;2.4196095335161080e-01;8.2154399250246257e-01;4.0425148925065285e-01
14;1.7967345513270494e-01;3.1811881473472914e-01;5.7965360050153436e-01
15;2.1090343055420593e-01;4.5132057210042753e-01;6.3021969262447664e-01
16;2.1090343394499808e-01;4.5132058656279800e-01;6.3021969811468626e-01
17;2.5103858836369397e-01;6.2250461820418490e-01;6.9520463288690659e-01
18;2.0417828764195597e-01;6.9474303917111757e-01;3.0316445908865813e-01
19;1.9657573680680798e-01;5.5047287931144062e-01;4.2080846749346912e-01
20;1.8892031895964367e-01;4.0519948613701456e-01;5.3927055490108378e-01
21;1.9657573680680798e-01;5.5047287931144062e-01;4.2080846749346912e-01

#FractureId
3
Id,X,Y,Z
0;1.1703576393608155e+00;8.4910901010356454e-01;1.9471648379405543e-02
1;1.8889537283905738e-01;1.0495073714723975e+00;1.9471648379405543e-02
2;8.5760163226457409e-02;5.4439687110120150e-01;4.4396472304581652e-01
3;1.0672224297482156e+00;3.4399850973236856e-01;4.4396472304581658e-01
4;1.0670416756495554e-01;6.4697132261869872e-01;3.5776151780177212e-01
5;2.2958430512164563e-01;5.1503035964802124e-01;4.4396472348114868e-01
6;3.4992729891302010e-01;1.0166273177542287e+00;1.9471646679757926e-02
7;5.2384452754190380e-01;4.5494728732724032e-01;4.4396472508445611e-01
8;6.9639824010065476e-01;9.4588366802209700e-01;1.9471658132024561e-02
9;4.3337784910253879e-01;7.4711687197911669e-01;2.2315579594946003e-01
10;1.8690584189894641e-01;5.6085583343290246e-01;4.1402479318913055e-01
